,INFORMATIONS GENERALES,,,,,,,,,POSITION DE L'ETABLISSEMENT,,,,,,,
Date de dernière modification,Nom établissement,Finess,Adresse - voie,Adresse - complément,Adresse - code postal,Adresse - ville,Type d'accueil,Type structure,Type d'établissement,"Adresse géographique (reconnue par GPS, pas de cedex, etc)",Latitude,Longitude,Adresse retournée par le géocodage,Score du géocodage (> 0.5 bon),Précision du géocodage,Département,Code insee
,MATERNITE REGIONALE UNIVERSITAIRE DE NANCY,540000031,10 rue du dr heydenreich,CS 74213,54042,NANCY CEDEX,Pédiatrique,non renseigné,non renseigné,10 rue du docteur heydenreich 54042 NANCY,48.68125,6.190247,10 Rue du Docteur Heydenreich 54000 Nancy,0.8,housenumber,"54, Meurthe-et-Moselle, Lorraine",54395
,CENTRE HOSPITALIER SAINT CHARLES TOUL,540000049,1 crs raymond poincare,BP 70310,54201,TOUL CEDEX,Généraliste,non renseigné,non renseigné,1 cours raymond poincare 54201 TOUL,48.67571,5.88684,1 Cours Raymond Poincaré 54200 Toul,0.83,housenumber,"54, Meurthe-et-Moselle, Lorraine",54528
,CENTRE HOSPITALIER DE LUNEVILLE,540000080,6 rue girardet,BP 30 206,54301,LUNEVILLE CEDEX,Généraliste,non renseigné,non renseigné,6 rue girardet 54301 LUNEVILLE,48.589168,6.492641,6 Rue François Girardet 54300 Lunéville,0.64,housenumber,"54, Meurthe-et-Moselle, Lorraine",54329
,CENTRE HOSPITALIER DE PONT A MOUSSON,540000106,place colombe,BP 269,54701,PONT A MOUSSON CEDEX,Généraliste,non renseigné,non renseigné,place colombe 54701 PONT A MOUSSON,48.905899,6.051161,Place Colombe 54700 Pont-à-Mousson,0.82,street,"54, Meurthe-et-Moselle, Lorraine",54431
,POLYCLINIQUE DE GENTILLY ET SAINT DON,540000486,2 rue marie marvingt,,54100,NANCY,Généraliste,non renseigné,non renseigné,2 rue marie marvingt 54100 NANCY,48.701627,6.13888,2 Rue Marie Marvingt 54100 Nancy,0.93,housenumber,"54, Meurthe-et-Moselle, Lorraine",54395
,CENTRE HOSPITALIER DE BRIEY,540000767,31 avenue albert de briey,BP 99,54151,BRIEY CEDEX,Adulte,non renseigné,non renseigné,31 avenue albert de briey 54151 BRIEY,49.257622,5.935057,31 Rue Albert de Briey 54150 Briey,0.68,housenumber,"54, Meurthe-et-Moselle, Lorraine",54099
,CH DE MT ST MARTIN (ALPHA SANTE),540001096,4 rue alfred labbe,,54350,MONT ST MARTIN,Généraliste,non renseigné,non renseigné,4 rue alfred labbe 54350 MONT ST MARTIN,49.537822,5.781606,4 Rue Alfred Labbe 54350 Mont-Saint-Martin,0.81,housenumber,"54, Meurthe-et-Moselle, Lorraine",54382
,HOPITAL CENTRAL CHU NANCY,540001138,29 avenue de lattre de tassigny,CO 34,54035,NANCY CEDEX,Généraliste,non renseigné,non renseigné,29 avenue de lattre de tassigny 54035 NANCY,48.683933,6.189412,29 Avenue du Maréchal de Lattre de Tassigny 54000 Nancy,0.65,housenumber,"54, Meurthe-et-Moselle, Lorraine",54395
