"Date_modif","Hopital","Finess","Adresse1","Adresse2","CP","Ville","Type_SU","Type_Structure","Type_etab","Adresse_Geo","Latitude","Longitude","Adresse_Geocode","Score","Precision","Departement","Code_Insee"
"1/5/2016","CHU DE STRASBOURG-NHC",670000025,"1 place de l'hopital","BP 426",67091,"STRASBOURG CEDEX","Adulte","public","CHU/CHR","1 place de l'hopital 67091 STRASBOURG",48.577361,7.749071,"1 Place de l'Hôpital 67000 Strasbourg",0.8,"housenumber","67, Bas-Rhin, Alsace",67482
"1/6/2016","CLINIQUE SAINTE ODILE",670016237,"6 rue Simonis","",67100,"STRASBOURG","Généraliste","ESPIC","autre","6 rue Simonis 67100 STRASBOURG",48.565289,7.758378,"6 Rue Simonis 67100 Strasbourg",0.94,"housenumber","67, Bas-Rhin, Alsace",67482
"1/7/2016","CLINIQUE DES DIACONESSES",670780162,"2 rue sainte-elisabeth","BP 90010",67085,"STRASBOURG CEDEX","Généraliste","ESPIC","autre","2 rue sainte-elisabeth 67085 STRASBOURG",48.576833,7.742772,"2 Rue Sainte-Élisabeth 67000 Strasbourg",0.8,"housenumber","67, Bas-Rhin, Alsace",67482
"1/8/2016","CLINIQUE SAINTE-ANNE",670780212,"182 route de la wantzenau","",67085,"STRASBOURG CEDEX","Généraliste","ESPIC","autre","182 route de la wantzenau 67085 STRASBOURG",48.615427,7.786644,"182 Route de la Wantzenau 67000 Strasbourg",0.82,"housenumber","67, Bas-Rhin, Alsace",67482
"1/9/2016","CENTRE HOSPITALIER DE HAGUENAU",670780337,"64 avenue professeur r leriche","BP 252",67504,"HAGUENAU CEDEX","Adulte","public","siège de SMUR","64 avenue professeur r leriche 67504 HAGUENAU",48.798945,7.779426,"64 Avenue du Professeur René Leriche 67500 Haguenau",0.73,"housenumber","67, Bas-Rhin, Alsace",67180
"1/10/2016","CENTRE HOSPITALIER DE HAGUENAU",670780337,"64 avenue professeur r leriche","BP 252",67504,"HAGUENAU CEDEX","Pédiatrique","public","siège de SMUR","64 avenue professeur r leriche 67504 HAGUENAU",48.798945,7.779426,"64 Avenue du Professeur René Leriche 67500 Haguenau",0.73,"housenumber","67, Bas-Rhin, Alsace",67180
"1/11/2016","CH SAINTE-CATHERINE DE SAVERNE",670780345,"19 cote de saverne","BP 20105",67703,"SAVERNE CEDEX","Adulte","public","siège de SMUR","19 cote de saverne 67703 SAVERNE",48.747575,7.350743,"19 Côte de Saverne 67700 Saverne",0.82,"housenumber","67, Bas-Rhin, Alsace",67437
"1/12/2016","CH SAINTE-CATHERINE DE SAVERNE",670780345,"19 cote de saverne","BP 20105",67703,"SAVERNE CEDEX","Pédiatrique","public","siège de SMUR","19 cote de saverne 67703 SAVERNE",48.747575,7.350743,"19 Côte de Saverne 67700 Saverne",0.82,"housenumber","67, Bas-Rhin, Alsace",67437
"1/13/2016","CH INTERCOMMUNAL DE LA LAUTER",670780543,"24 route weiler","BP  20003",67166,"WISSEMBOURG CEDEX","Généraliste","public","siège de SMUR","24 route weiler 67166 WISSEMBOURG",49.040269,7.933344,"24 Route de Weiler 67160 Wissembourg",0.76,"housenumber","67, Bas-Rhin, Alsace",67544
"1/14/2016","CENTRE HOSPITALIER DE SELESTAT",670780691,"23 avenue louis pasteur","BP 30248",67606,"SELESTAT CEDEX","Généraliste","public","siège de SMUR","23 avenue louis pasteur 67606 SELESTAT",48.263069,7.435468,"23 Avenue Louis Pasteur 67600 Sélestat",0.84,"housenumber","67, Bas-Rhin, Alsace",67462
"1/15/2016","CHU STRASBOURG-HAUTEPIERRE",670783273,"1 avenue moliere","",67098,"STRASBOURG CEDEX 2","Adulte","public","CHU/CHR","1 avenue moliere 67098 STRASBOURG",48.59928,7.698541,"1 Avenue Molière 67200 Strasbourg",0.74,"housenumber","67, Bas-Rhin, Alsace",67482
"1/16/2016","CHU STRASBOURG-HAUTEPIERRE",670783273,"1 avenue moliere","",67098,"STRASBOURG CEDEX 2","Pédiatrique","public","CHU/CHR","1 avenue moliere 67098 STRASBOURG",48.59928,7.698541,"1 Avenue Molière 67200 Strasbourg",0.74,"housenumber","67, Bas-Rhin, Alsace",67482
"1/17/2016","POLYCLINIQUE DES TROIS FRONTIERES",680000197,"8 rue st-damien","BP 20108",68303,"ST LOUIS CEDEX","Généraliste","public","autre","8 rue st-damien 68303 ST LOUIS",47.582468,7.552093,"8 Rue Saint-Damien 68300 Saint-Louis",0.59,"housenumber","68, Haut-Rhin, Alsace",68297
"1/18/2016","CLINIQUE DIACONAT-FONDERIE",680000320,"1 rue saint sauveur","BP  1237",68054,"MULHOUSE CEDEX 1","Généraliste","ESPIC","autre","1 rue saint sauveur 68054 MULHOUSE",47.740908,7.332409,"1 Rue Saint-Sauveur 68100 Mulhouse",0.73,"housenumber","68, Haut-Rhin, Alsace",68224
"1/19/2016","CENTRE HOSPITALIER D ALTKIRCH",680000395,"23 r du troisieme zouave","B.P.  1022",68134,"ALTKIRCH CEDEX","Généraliste","public","autre","23 r du troisieme zouave 68134 ALTKIRCH",47.623973,7.250248,"23 Rue du 3e Zouave 68130 Altkirch",0.55,"housenumber","68, Haut-Rhin, Alsace",68004
"1/20/2016","CENTRE HOSPITALIER DE THANN",680000437,"1 - 3 rue saint jacques","BP 40088",68802,"THANN CEDEX","Généraliste","public","autre","1 - 3 rue saint jacques 68802 THANN",47.813633,7.096448,"3 Rue Saint-Jacques 68800 Thann",0.77,"housenumber","68, Haut-Rhin, Alsace",68334
"1/21/2016","HOPITAL DU  HASENRAIN",680000627,"87 avenue d altkirch","B.P.  1070",68051,"MULHOUSE CEDEX 1","Pédiatrique","public","autre","87 avenue d altkirch 68051 MULHOUSE",47.735222,7.330425,"87 Avenue d'Altkirch 68100 Mulhouse",0.75,"housenumber","68, Haut-Rhin, Alsace",68224
"1/22/2016","HOPITAL LOUIS PASTEUR",680000684,"39 avenue de la Liberté","",68024,"Colmar cedex","Généraliste","public","siège de SMUR","39 avenue de la Liberté 68024 Colmar",48.075481,7.342101,"39 Avenue de la Liberté 68000 Colmar",0.8,"housenumber","68, Haut-Rhin, Alsace",68066
"1/23/2016","CENTRE HOSPITALIER DE GUEBWILLER",680001005,"2 rue jean schlumberger","",68504,"GUEBWILLER CEDEX","Généraliste","public","autre","2 rue jean schlumberger 68504 GUEBWILLER",47.908626,7.21534,"2 Rue Jean Schlumberger 68500 Guebwiller",0.83,"housenumber","68, Haut-Rhin, Alsace",68112
"1/24/2016","Centre Mere enfant- Le parc",680001245,"49 rue du Stauffen","",68020,"Colmar cedex","Pédiatrique","public","autre","49 rue du Stauffen 68020 Colmar cedex",48.086249,7.336747,"49 Rue du Stauffen 68000 Colmar",0.7,"housenumber","68, Haut-Rhin, Alsace",68066
"1/25/2016","CENTRE HOSPITALIER DE MULHOUSE - HOPITAL EMILE MUL",680004546,"20 rue du dr laennec","",68051,"MULHOUSE CEDEX 1","Généraliste","public","siège de SAMU","20 avenue du docteur rené laennec 68100 MULHOUSE",47.726243,7.343825,"20 Avenue du Docteur René Laennec 68100 Mulhouse",0.93,"housenumber","68, Haut-Rhin, Alsace",68224
"1/26/2016","CLINIQUE DIACONAT-ROOSEVELT",NA,"","",NA,"MULHOUSE CEDEX 1","Généraliste","ESPIC","autre","12 rue d'Alsace 68200 MULHOUSE",47.75084,7.335888,"",NA,"","68, Haut-Rhin, Alsace",68225
NA,"CENTRE HOSPITALIER DE SEDAN",80000037,"2 avenue general margueritte","CS 40903",8209,"SEDAN CEDEX","Généraliste","public","siège de SMUR","2 avenue general margueritte 08209 SEDAN",49.705211,4.940394,"2 Avenue du Général Margueritte 08200 Sedan",0.79,"housenumber","08, Ardennes, Champagne-Ardenne",8409
NA,"CENTRE HOSPITALIER DE RETHEL",80000219,"1 place hourtoule","",8300,"RETHEL","Généraliste","public","siège de SMUR","1 place hourtoule 08300 RETHEL",49.510648,4.363306,"1 Place Hourtoule 08300 Rethel",0.93,"housenumber","08, Ardennes, Champagne-Ardenne",8362
NA,"CENTRE HOSPITALIER DE VOUZIERS",80000276,"12 rue henrionnet","",8400,"VOUZIERS","Généraliste","public","siège de SMUR","12 rue henrionnet 08400 VOUZIERS",49.395212,4.702298,"12 Rue Henrionnet 08400 Vouziers",0.93,"housenumber","08, Ardennes, Champagne-Ardenne",8490
NA,"CH DE CHARLEVILLE MEZIERES",80000615,"45 avenue de manchester","",8011,"CHARLEVILLE MEZIERES CEDEX","Généraliste","public","siège de SAMU","45 avenue de manchester 08011 CHARLEVILLE MEZIERES",49.761686,4.695118,"45 Avenue de Manchester 08000 Charleville-Mézières",0.83,"housenumber","08, Ardennes, Champagne-Ardenne",8105
NA,"CENTRE HOSPITALIER DE TROYES",100000090,"101 avenue anatole france","",10003,"TROYES CEDEX","Généraliste","public","siège de SAMU","101 avenue anatole france 10003 TROYES",48.287167,4.076588,"3 Avenue Anatole France 10000 Troyes",0.8,"housenumber","10, Aube, Champagne-Ardenne",10387
NA,"GHAM - SITE DE ROMILLY-SUR-SEINE",100000199,"avenue paul v. couturier","",10105,"ROMILLY SUR SEINE CEDEX","Généraliste","public","siège de SMUR","avenue paul v. couturier 10105 ROMILLY SUR SEINE",48.514901,3.723544,"5 Rue Paul Vaillant Couturier 10100 Romilly-sur-Seine",0.64,"housenumber","10, Aube, Champagne-Ardenne",10323
NA,"CENTRE HOSPITALIER DE CHALONS",510000037,"51 rue du cdt derrien","",51005,"CHALONS EN CHAMPAGNE CEDEX","Généraliste","public","siège de SMUR","51 rue du commandant derrien 51005 CHALONS EN CHAMPAGNE",48.971401,4.372059,"51 Rue du Commandant Derrien 51000 Châlons-en-Champagne",0.88,"housenumber","51, Marne, Champagne-Ardenne",51108
