,"Région","Dpt","FINNES","Raison.sociale","Complement.distribution","Adresse","Lieudit.BP","Code.postal","Libelle.routage","Tel","nom correspondant","mail","logiciel","editeur","RPU (OUI/NON)","Remarque"
437,"ALSACE","Bas Rhin",670000025,"HOPITAL CIVIL / NOUVEL HOPITAL CIVIL",,"1 PLACE DE L'HOPITAL","BP 426",67091,"STRASBOURG CEDEX","03 88 11 67 68 ",,,"DXCARE",,"OUI",
438,"ALSACE","Bas Rhin",670000157,"CENTRE HOSPITALIER DE HAGUENAU",,"64 AVENUE DU PROFESSEUR RENE LERICHE","BP 40252",67504,"HAGUENAU CEDEX","03 88 06 33 33 ",,,"RESURGENCE",,"OUI",
439,"ALSACE","Bas Rhin",670000165,"CH SAINTE-CATHERINE DE SAVERNE",,"19 COTE DE SAVERNE","BP 20105",67703,"SAVERNE CEDEX","03 88 71 67 67 ",,,"DXCARE",,"OUI",
440,"ALSACE","Bas Rhin",670000272,"CH INTERCOMMUNAL DE LA LAUTER",,"24 ROUTE DE WEILER","BP 20003",67166,"WISSEMBOURG CEDEX","03 88 54 11 11 ",,,"ATALANTE",,"OUI",
441,"ALSACE","Bas Rhin",670000397,"CENTRE HOSPITALIER DE SELESTAT",,"23 AVENUE LOUIS PASTEUR","BP 30248",67606,"SELESTAT CEDEX","03 88 57 56 00 ",,,"CLINICOM",,"OUI",
442,"ALSACE","Bas Rhin",670016237,"CLINIQUE SAINTE ODILE",,"6 RUE SIMONIS",,67100,"STRASBOURG","03 88 40 45 00 ",,,"DXCARE",,"OUI",
443,"ALSACE","Bas Rhin",670780162,"CLINIQUE DES DIACONESSES",,"2 RUE SAINTE-ELISABETH","BP 90010",67085,"STRASBOURG CEDEX","03 88 14 42 42 ",,,"ATALANTE",,"OUI","à partir de janvier 2015 : Logiciel DxCare V7.4"
444,"ALSACE","Bas Rhin",670780212,"CLINIQUE SAINTE-ANNE",,"182 ROUTE DE LA WANTZENAU",,67085,"STRASBOURG CEDEX","03 88 45 81 81 ",,,"ORBIS",,"OUI",
445,"ALSACE","Bas Rhin",670783273,"HOPITAL DE HAUTEPIERRE",,"1 AVENUE MOLIERE",,67098,"STRASBOURG CEDEX 2","03 88 11 67 68 ",,,"DXCARE",,"OUI",
446,"ALSACE","Haut Rhin",680000320,"CLINIQUE DIACONAT FONDERIE",,"1 RUE SAINT-SAUVEUR","BP 1237",68054,"MULHOUSE CEDEX 1","03 89 36 75 75 ",,,"ATALANTE",,"OUI",
447,"ALSACE","Haut Rhin",680000494,"CLINIQUE DIACONAT ROOSEVELT",,"14 BOULEVARD DU PRESIDENT ROOSEVELT",,68200,"MULHOUSE","03 89 32 55 00 ",,,"ATALANTE",,"OUI",
448,"ALSACE","Haut Rhin",680000544,"CENTRE HOSPITALIER D'ALTKIRCH",,"23 RUE DU TROISIEME ZOUAVE","BP 1022",68134,"ALTKIRCH CEDEX","03 89 08 30 30 ",,,"ATALANTE",,"OUI",
449,"ALSACE","Haut Rhin",680000601,"CENTRE HOSPITALIER DE THANN",,"1 RUE SAINT JACQUES","BP 40088",68802,"THANN CEDEX","03 89 37 71 01 ",,,"NA",,"NON",
450,"ALSACE","Haut Rhin",680000627,"HOPITAL DU HASENRAIN",,"87 AVENUE D'ALTKIRCH","BP 1070",68051,"MULHOUSE CEDEX 1","03 89 64 74 74 ",,,"CRISTALNET-DMU",,"OUI",
451,"ALSACE","Haut Rhin",680000684,"HOPITAL LOUIS PASTEUR",,"39 AVENUE DE LA LIBERTE",,68024,"COLMAR CEDEX","03 89 12 40 00 ",,"à vérifier","CRISTALNET-DMU",,"OUI",
452,"ALSACE","Haut Rhin",680000700,"CENTRE HOSPITALIER DE GUEBWILLER",,"2 RUE JEAN SCHLUMBERGER",,68504,"GUEBWILLER CEDEX","03 89 74 78 00 ",,,"ATALANTE",,"OUI",
453,"ALSACE","Haut Rhin",680001245,"CENTRE MERE ENFANT 'LE PARC'",,"46 RUE DU STAUFFEN",,68020,"COLMAR CEDEX","03 89 12 40 00 ",,"àvérifier","CRISTALNET-DMU",,"OUI",
454,"ALSACE","Haut Rhin",680004546,"HOPITAL EMILE MULLER",,"20 RUE DU DR LAENNEC",,68051,"MULHOUSE CEDEX 1","03 89 64 64 64 ",,,"URQUAL",,"OUI",
455,"ALSACE","Haut Rhin",680020096,"CENTRE HOSP MULHOUSE- SITE DE ST-LOUIS",,"5 RUE SAINT DAMIEN",,68300,"ST LOUIS",,,,"ATALANTE",,"OUI",
128,"AQUITAINE","Dordogne",240000190,"POLYCLINIQUE FRANCHEVILLE",,"34 BOULEVARD DE VESONE","BP 4063",24004,"PERIGUEUX CEDEX","05 53 02 11 11 ",,,"DOPASOINS","module Urgences (WebSanté)","OUI",
129,"AQUITAINE","Dordogne",240000372,"C.H DE BERGERAC",,"9 AVENUE ALBERT CALMETTE","BP 820",24108,"BERGERAC CEDEX","05 53 63 88 88 ",,,"CROSSWAY","(McKesson)","OUI",
130,"AQUITAINE","Dordogne",240000489,"CENTRE HOSPITALIER DE PERIGUEUX",,"80 AVENUE GEORGES POMPIDOU","BP 9052",24019,"PERIGUEUX CEDEX","05 53 45 25 25 ",,,"DXCARE","(Medasys)","OUI",
131,"AQUITAINE","Dordogne",240000687,"CENTRE HOSPITALIER SARLAT","CH JEAN LECLAIRE",,"CS 80201 LE POUGET",24206,"SARLAT LA CANEDA CEDEX","05 53 31 75 75 ",,,"SIDSU",,"OUI",
192,"AQUITAINE","Gironde",330000555,"CENTRE HOSPITALIER D'ARCACHON",,"AVENUE JEAN HAMEAU","CS 11001",33164,"LA TESTE CEDEX","05 57 52 90 08 ",,,"SIDSU",,"OUI",
193,"AQUITAINE","Gironde",330000571,"CH DE LA HAUTE GIRONDE",,"97 RUE DE L'HOPITAL","BP 90",33394,"BLAYE CEDEX","05 57 33 40 00 ",,,"CROSSWAY","(McKesson)","NON",
194,"AQUITAINE","Gironde",330000589,"CENTRE HOSPITALIER DE LANGON",,"RUE PAUL LANGEVIN","BP 60283",33212,"LANGON CEDEX","05 56 76 57 57 ",,,"SILLAGE",,"NON",
195,"AQUITAINE","Gironde",330000597,"CENTRE HOSPITALIER DE LA REOLE",,"3 PLACE ST MICHEL","BP 90055",33192,"LA REOLE CEDEX","05 56 61 52 53",,,"SILLAGE",,"NON",
196,"AQUITAINE","Gironde",330000605,"CTRE HOSPIT.R.BOULIN-LIBOURNE",,"112 RUE DE LA MARNE","BP 199",33505,"LIBOURNE CEDEX","05 57 55 34 34 ",,,"URQUAL","(McKesson)","OUI",
