Newspaper	newspaperok	start	end	nbArt	Ctry	jrnl	datesemaine
Financial Times (Available to Academic Subscribers Only)	Financial Times	21/11/2011	27/11/2011	2	GBR	1	1194
Financial Times (Available to Academic Subscribers Only)	Financial Times	05/12/2011	11/12/2011	1	GBR	1	1196
Financial Times (Available to Academic Subscribers Only)	Financial Times	12/12/2011	18/12/2012	4	GBR	1	1197
Financial Times (Available to Academic Subscribers Only)	Financial Times	19/12/2011	25/12/2011	6	GBR	1	1198
Financial Times (Available to Academic Subscribers Only)	Financial Times	26/12/2011	01/01/2012	3	GBR	1	1199
Financial Times (Available to Academic Subscribers Only)	Financial Times	02/01/2012	08/01/2012	1	GBR	1	1200
Financial Times (Available to Academic Subscribers Only)	Financial Times	16/01/2012	22/01/2012	2	GBR	1	1202
Financial Times (FT.Com) (Available to Academic Subscribers Only)	Financial Times	23/01/2012	29/01/2012	1	GBR	1	1203
Financial Times (Available to Academic Subscribers Only)	Financial Times	30/01/2012	05/02/2012	4	GBR	1	1204
Financial Times (Available to Academic Subscribers Only)	Financial Times	06/02/2012	12/02/2012	2	GBR	1	1205
Financial Times (Available to Academic Subscribers Only)	Financial Times	13/02/2012	19/02/2012	1	GBR	1	1206
Financial Times (Available to Academic Subscribers Only)	Financial Times	20/02/2012	26/02/2012	1	GBR	1	1207
Financial Times (Available to Academic Subscribers Only)	Financial Times	05/03/2012	11/03/2012	1	GBR	1	1209
Financial Times (FT.Com) (Available to Academic Subscribers Only)	Financial Times	12/03/2012	18/03/2012	1	GBR	1	1210
Financial Times (Available to Academic Subscribers Only)	Financial Times	19/03/2012	25/03/2012	3	GBR	1	1211
Financial Times (Available to Academic Subscribers Only)	Financial Times	16/04/2012	22/04/2012	1	GBR	1	1215
Financial Times (Available to Academic Subscribers Only)	Financial Times	23/04/2012	29/04/2012	1	GBR	1	1216
Financial Times (Available to Academic Subscribers Only)	Financial Times	30/04/2012	06/05/2012	1	GBR	1	1217
South China Morning Post	South China Morning Post	21/11/2011	27/11/2011	1	HKG	2	1194
South China Morning Post	South China Morning Post	28/11/2011	04/12/2011	3	HKG	2	1195
South China Morning Post	South China Morning Post	05/12/2011	11/12/2011	1	HKG	2	1196
South China Morning Post	South China Morning Post	12/12/2011	18/12/2012	8	HKG	2	1197
South China Morning Post 	South China Morning Post	19/12/2011	25/12/2011	19	HKG	2	1198
South China Morning Post	South China Morning Post	26/12/2011	01/01/2012	7	HKG	2	1199
South China Morning Post	South China Morning Post	02/01/2012	08/01/2012	4	HKG	2	1200
South China Morning Post	South China Morning Post	09/01/2012	15/01/2012	3	HKG	2	1201
South China Morning Post	South China Morning Post	16/01/2012	22/01/2012	5	HKG	2	1202
South China Morning Post	South China Morning Post	30/01/2012	05/02/2012	4	HKG	2	1204
South China Morning Post	South China Morning Post	06/02/2012	12/02/2012	5	HKG	2	1205
South China Morning Post	South China Morning Post	13/02/2012	19/02/2012	4	HKG	2	1206
South China Morning Post	South China Morning Post	20/02/2012	26/02/2012	3	HKG	2	1207
South China Morning Post	South China Morning Post	27/02/2012	04/03/2012	5	HKG	2	1208
South China Morning Post	South China Morning Post	05/03/2012	11/03/2012	4	HKG	2	1209
South China Morning Post	South China Morning Post	12/03/2012	18/03/2012	2	HKG	2	1210
South China Morning Post	South China Morning Post	19/03/2012	25/03/2012	2	HKG	2	1211
South China Morning Post	South China Morning Post	26/03/2012	01/04/2012	2	HKG	2	1212
South China Morning Post	South China Morning Post	02/04/2012	08/04/2012	1	HKG	2	1213
South China Morning Post	South China Morning Post	23/04/2012	29/04/2012	1	HKG	2	1216
South China Morning Post	South China Morning Post	07/05/2012	13/05/2012	2	HKG	2	1218
South China Morning Post	South China Morning Post	14/05/2012	20/05/2012	2	HKG	2	1219
The Telegraph Online (U.K.) 	The Daily Telegraph	12/12/2011	18/12/2012	15	GBR	3	1197
